,PID,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,NumbrFlrs,HouseAge,Remodeled,LogPrice,AllBathrooms,TotalLivArea,TotalOutdoorSF,HasPool
17,906380120,203000,1-STORY 1946 & NEWER ALL STYLES,RL,68,8814,2,0,4,Lvl,4,Inside,1,College Creek,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80,4,3,PConc,4,3,1,6,1,349,GasA,5,Y,SBrkr,3,1,4,6,8,0,0,Attchd,2005,2,2,508,3,3,2,0,0,No Misc,0,Jan,2007,New,Partial,1,5,1,12.220961258023925,3.0,2199,362,0
18,909101060,67000,1-STORY 1945 & OLDER,RL,45,8248,2,1,4,Lvl,4,Inside,1,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0,3,3,BrkTil,3,3,1,4,1,823,GasA,3,N,FuseF,2,1,3,5,8,0,0,No Garage,1914,0,0,0,0,0,0,0,0,No Misc,0,Sep,2008,Warranty Deed,Normal,1,96,1,11.112447898373103,2.0,905,100,0
19,534152050,205000,1-STORY 1946 & NEWER ALL STYLES,RL,80,10603,2,0,3,Lvl,4,Inside,1,Northwest Ames,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28,3,3,PConc,3,3,2,5,1,410,GasA,4,Y,SBrkr,3,1,4,6,8,2,3,Attchd,1977,2,2,480,3,3,2,0,0,No Misc,0,Feb,2010,Warranty Deed,Normal,1,33,1,12.230765258120545,3.0,2810,236,0
20,923252075,131250,SPLIT OR MULTI-LEVEL,RL,62,7706,2,0,4,Lvl,4,Inside,1,Mitchell,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0,3,4,CBlock,4,3,3,3,6,0,GasA,5,Y,SBrkr,2,1,3,5,8,0,0,Attchd,1993,3,1,429,3,3,2,0,0,Shed,700,Aug,2009,Warranty Deed,Normal,2,17,1,11.78485918045387,1.5,1475,280,0
21,531376060,181000,1-STORY 1946 & NEWER ALL STYLES,RL,65,7441,2,0,3,Lvl,4,Inside,1,Sawyer West,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170,4,3,PConc,4,3,1,1,1,1461,GasA,5,Y,SBrkr,3,1,4,7,8,0,0,Attchd,2006,2,2,566,3,3,2,0,0,No Misc,0,Jun,2007,Warranty Deed,Normal,1,4,0,12.106252310247962,2.0,1486,32,0
22,902201120,115000,1-STORY 1946 & NEWER ALL STYLES,RM,50,6000,2,0,4,Lvl,4,Inside,1,Old Town,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,CBlock,3,3,1,5,4,516,GasA,5,Y,SBrkr,2,1,3,5,8,0,0,Detchd,1948,1,1,250,3,3,2,0,0,No Misc,0,Apr,2008,Warranty Deed,Partial,1,62,1,11.652687407345388,1.0,1062,0,0
23,923228080,98000,2-STORY PUD 1946 & NEWER,RM,21,1477,2,0,4,Lvl,4,Inside,1,Meadow Village,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0,3,4,CBlock,3,3,1,6,1,188,GasA,5,Y,SBrkr,3,1,3,6,8,0,0,No Garage,1970,0,0,0,0,0,2,0,0,No Misc,0,Mar,2008,Warranty Deed,Normal,2,40,1,11.49272275765271,2.5,1450,187,0
24,902326030,265979,2-STORY 1945 & OLDER,RM,65,11700,2,2,3,Lvl,4,Corner,1,Old Town,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0,4,3,Stone,3,2,1,1,1,1240,GasW,3,N,SBrkr,4,1,4,8,8,1,4,Detchd,1950,1,4,864,3,3,0,0,0,No Misc,0,May,2009,Warranty Deed,Normal,2,130,1,12.491172637278908,1.5,2640,567,0
25,527451330,105500,2-STORY PUD 1946 & NEWER,RM,21,1680,2,0,4,Lvl,4,Inside,1,Briardale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492,3,3,CBlock,3,3,1,3,1,225,GasA,3,Y,SBrkr,3,1,3,6,8,0,0,Detchd,1997,1,1,320,3,3,2,0,0,No Misc,0,Mar,2010,Warranty Deed,Normal,2,39,0,11.566466231898259,1.5,1392,0,0
26,528218100,168165,2-STORY 1946 & NEWER,RL,58,13204,2,0,3,Lvl,4,Inside,1,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44,3,3,PConc,4,3,1,1,1,608,GasA,5,Y,SBrkr,3,1,4,6,8,0,0,BuiltIn,2007,3,2,454,3,3,2,0,0,No Misc,0,May,2007,New,Partial,2,4,1,12.032700919255804,2.0,1458,133,0
27,916386140,201000,1-STORY 1946 & NEWER ALL STYLES,RL,73,8925,2,0,3,HLS,4,Inside,1,Timberland,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,3,6,1,1450,GasA,5,Y,SBrkr,3,1,4,7,8,0,0,Attchd,2007,3,3,610,3,3,2,0,0,No Misc,0,Jul,2009,Warranty Deed,Normal,1,3,0,12.211060187041213,2.0,1482,118,0
28,533221090,177500,2-STORY PUD 1946 & NEWER,FV,72,2117,2,0,4,Lvl,4,Inside,1,Somerset,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216,4,3,PConc,4,3,1,6,1,378,GasA,5,Y,SBrkr,3,1,4,5,8,0,0,Detchd,2000,1,2,440,3,3,2,0,0,No Misc,0,Jun,2010,Warranty Deed,Normal,2,10,0,12.086725887897607,2.5,1951,32,0
29,534128010,200000,2-STORY 1946 & NEWER,RL,80,10382,2,0,3,Lvl,4,Corner,1,Northwest Ames,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240,3,3,CBlock,4,3,2,5,4,216,GasA,5,Y,SBrkr,3,1,3,7,8,2,3,Attchd,1973,2,2,484,3,3,2,0,0,Shed,350,Nov,2009,Warranty Deed,Normal,2,37,0,12.206072645530174,3.5,2981,667,0
30,528106110,450000,1-STORY 1946 & NEWER ALL STYLES,RL,105,15431,2,0,4,Lvl,4,Inside,1,Northridge Heights,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400,5,3,PConc,5,3,4,6,1,564,GasA,5,Y,SBrkr,2,1,5,7,8,2,4,Attchd,2005,3,3,878,3,3,2,0,0,No Misc,0,Aug,2007,Warranty Deed,Normal,1,5,1,13.017002861746503,3.5,3476,428,0
31,902206260,91300,1-STORY 1945 & OLDER,RM,50,5784,2,0,4,Lvl,4,Inside,1,Old Town,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,2,3,1,1,1,190,GasA,4,Y,FuseA,2,1,3,4,8,0,0,Attchd,1938,1,1,273,3,3,2,0,0,No Misc,0,Dec,2009,Warranty Deed,Normal,1,72,1,11.421906066583059,1.0,886,244,0
32,528222090,173500,1-STORY 1946 & NEWER ALL STYLES,RL,64,7697,2,0,4,Lvl,4,Inside,1,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,4,3,PConc,4,3,1,1,1,1246,GasA,5,Y,SBrkr,3,1,4,6,8,0,0,Attchd,2007,2,2,462,3,3,2,0,0,No Misc,0,Aug,2007,New,Partial,1,3,0,12.063932878369052,2.0,1258,0,0
33,528218150,199500,1-STORY 1946 & NEWER ALL STYLES,RL,100,18494,2,0,3,Lvl,4,Corner,1,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,1,1,1,1324,GasA,5,Y,SBrkr,3,1,4,6,8,0,0,Attchd,2005,3,2,430,3,3,2,0,0,No Misc,0,Jan,2010,Warranty Deed,Normal,1,5,0,12.203569515312056,2.0,1324,59,0
34,903400180,207000,1-1/2 STORY FINISHED ALL AGES,RL,64,13053,2,2,4,Bnk,4,Inside,1,Brookside,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,3,1,1,1,833,GasA,4,Y,SBrkr,4,1,4,8,8,1,4,Detchd,1922,1,2,370,3,3,0,0,0,No Misc,0,Jun,2008,Warranty Deed,Normal,1,87,1,12.240474072247506,1.5,1848,220,0
35,535453210,155000,1-STORY 1946 & NEWER ALL STYLES,RL,70,7931,2,0,4,Lvl,4,Inside,1,North Ames,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0,3,3,CBlock,3,3,1,4,2,363,GasA,3,Y,FuseA,3,1,3,6,8,1,2,Detchd,1964,1,1,308,3,3,2,0,0,No Misc,0,Jun,2008,Warranty Deed,Normal,1,50,0,11.951180395901384,1.5,2175,0,0
36,916386010,220000,1-STORY 1946 & NEWER ALL STYLES,RL,88,11896,2,0,3,Lvl,4,Corner,1,Timberland,Norm,Norm,1Fam,1Story,7,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60,4,3,PConc,4,3,1,6,1,1258,GasA,5,Y,SBrkr,3,1,4,6,8,1,3,Attchd,2008,3,3,660,3,3,2,0,0,No Misc,0,May,2010,Warranty Deed,Normal,1,2,0,12.301382825334498,3.0,1424,148,0
37,907181090,196000,2-STORY 1946 & NEWER,RL,68,9272,2,0,3,Lvl,4,Inside,1,College Creek,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,1,6,1,342,GasA,5,Y,SBrkr,3,1,4,7,8,0,0,Attchd,1999,2,2,515,3,3,2,0,0,No Misc,0,Jun,2006,Warranty Deed,Normal,2,11,0,12.185869938212655,2.5,2249,225,0
38,902206020,61500,1-STORY 1945 & OLDER,RM,52,7830,2,0,4,Lvl,4,Inside,1,Old Town,Norm,Norm,1Fam,1Story,3,5,1921,1950,Gable,CompShg,AsbShng,AsbShng,None,0,3,3,BrkTil,2,3,1,2,1,76,GasA,3,Y,SBrkr,1,1,3,3,8,0,0,Detchd,1921,1,1,200,2,3,0,0,0,No Misc,0,Jun,2006,Warranty Deed,Normal,1,89,1,11.02679245379461,2.0,908,78,0
39,527327050,195000,2-STORY 1946 & NEWER,RL,80,12046,2,0,3,Lvl,4,Inside,1,Northwest Ames,Norm,Norm,1Fam,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,298,3,3,CBlock,3,3,1,2,1,692,GasA,3,Y,SBrkr,4,1,4,8,8,1,3,Attchd,1976,3,2,551,3,3,2,0,0,No Misc,0,Jun,2007,Warranty Deed,Normal,2,34,0,12.180754837545884,2.5,2186,224,0
40,527455250,129250,1-STORY 1946 & NEWER ALL STYLES,RL,65,7150,2,0,4,Lvl,4,Inside,1,North Ames,Norm,Norm,1Fam,1Story,5,6,1966,1966,Hip,CompShg,HdBoard,HdBoard,BrkFace,52,3,3,CBlock,3,3,1,4,1,263,GasA,3,Y,SBrkr,3,1,3,5,8,0,0,Detchd,1974,1,1,360,3,3,2,0,0,No Misc,0,Nov,2007,Warranty Deed,Normal,1,44,0,11.769503792370676,2.0,1713,0,0
41,528326110,291000,2-STORY 1946 & NEWER,RL,88,11000,2,0,4,Lvl,4,FR2,1,Northridge,Norm,Norm,1Fam,2Story,9,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,295,4,3,PConc,5,3,2,1,1,1519,GasA,5,Y,SBrkr,4,1,5,8,8,1,3,BuiltIn,2000,2,3,687,3,3,2,0,0,No Misc,0,Jun,2008,Warranty Deed,Normal,2,10,0,12.581078546153629,2.5,2172,315,0
42,914452190,134000,1-STORY 1946 & NEWER ALL STYLES,RL,71,9187,2,0,4,Bnk,4,Corner,1,Mitchell,Norm,Norm,1Fam,1Story,6,5,1983,1983,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,PConc,3,3,1,5,1,748,GasA,3,Y,SBrkr,3,1,3,5,8,0,0,Attchd,1983,1,2,484,3,3,2,0,0,No Misc,0,Jun,2007,Warranty Deed,Normal,1,27,0,11.805595078933049,1.5,1416,278,0
43,535425060,186000,1-STORY 1946 & NEWER ALL STYLES,RL,76,11355,2,0,3,Lvl,4,Corner,1,North Ames,Norm,Norm,1Fam,1Story,7,7,1958,2001,Gable,Tar&Grv,HdBoard,HdBoard,BrkFace,125,3,3,CBlock,3,3,1,4,1,675,GasA,5,Y,SBrkr,3,1,3,6,8,1,4,Attchd,1958,2,2,495,3,3,2,0,3,Othr,6500,Apr,2008,Warranty Deed,Normal,1,52,1,12.133501952695338,1.5,1949,448,0
44,532376250,133500,1-STORY 1946 & NEWER ALL STYLES,RL,72,8638,2,0,3,Lvl,4,Inside,1,Sawyer,RRAe,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,PConc,3,3,1,5,1,744,GasA,4,Y,SBrkr,2,1,3,5,8,0,0,Detchd,1990,1,2,484,3,3,2,0,0,No Misc,0,Oct,2006,Warranty Deed,Normal,1,47,0,11.801856756822442,2.0,1106,277,0
45,535379110,148000,2-STORY 1945 & OLDER,RL,60,10800,2,1,4,Lvl,4,Inside,1,Old Town,Norm,Norm,1Fam,2Story,5,9,1895,1999,Gable,CompShg,Wd Sdng,HdBoard,None,0,3,4,CBlock,4,3,3,1,1,736,GasA,5,Y,SBrkr,3,1,4,6,8,0,0,No Garage,1895,0,0,0,0,0,0,0,0,No Misc,0,Jul,2007,Warranty Deed,Normal,2,115,1,11.904967552746252,1.5,1534,112,0
46,528118010,325300,2-STORY 1946 & NEWER,RL,101,14215,2,0,3,Lvl,4,Corner,1,Northridge Heights,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380,4,3,PConc,5,3,3,1,1,1158,GasA,5,Y,SBrkr,4,1,4,9,8,1,4,BuiltIn,2005,2,3,853,3,3,2,0,0,No Misc,0,Nov,2006,New,Partial,2,5,1,12.692503112461443,3.5,2376,394,0
47,528235160,215000,2-STORY 1946 & NEWER,RL,59,11796,2,0,3,Lvl,4,Inside,1,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,3,1,1,847,GasA,5,Y,SBrkr,4,1,4,8,8,1,4,BuiltIn,2004,3,2,434,3,3,2,0,0,No Misc,0,Jul,2007,Warranty Deed,Normal,2,6,1,12.2783933071098,2.5,1959,148,0
48,905478030,131000,1-1/2 STORY FINISHED ALL AGES,RL,60,11409,2,0,4,Lvl,4,Inside,1,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,1949,2008,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,1,2,1,476,GasA,4,Y,SBrkr,3,1,3,8,6,1,4,Attchd,1949,1,1,281,3,3,2,0,0,No Misc,0,Jan,2009,Warranty Deed,Normal,1,61,1,11.782952602183288,1.5,2008,160,0
49,902106130,109500,1-STORY 1945 & OLDER,RM,56,4485,2,1,4,Lvl,4,Inside,1,Old Town,Artery,Norm,1Fam,1Story,5,7,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,PConc,3,3,1,4,1,357,GasA,3,Y,SBrkr,2,1,3,5,8,1,4,No Garage,1920,0,0,0,0,0,1,0,3,No Misc,0,May,2010,Warranty Deed,Normal,1,90,1,11.603679828238693,2.0,1515,186,0
50,902102080,110000,1-1/2 STORY FINISHED ALL AGES,RM,60,10440,2,1,4,Lvl,4,Corner,1,Old Town,Norm,Norm,1Fam,2Story,5,6,1910,1981,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,PConc,3,3,1,1,1,440,GasA,4,Y,SBrkr,2,1,3,5,8,0,0,Detchd,1966,1,2,440,3,3,2,0,3,No Misc,0,May,2009,Warranty Deed,Normal,1,100,1,11.608235644774552,1.5,1230,202,0
51,909176170,150000,DUPLEX ALL STYLES AND AGES,RL,60,10890,2,0,4,Lvl,4,Inside,1,Southwest of ISU,Norm,Norm,Duplex,2Story,5,6,1923,1950,Hip,CompShg,Wd Sdng,Plywood,None,0,3,3,PConc,3,3,2,3,1,925,Grav,2,N,FuseA,6,2,3,12,6,0,0,No Garage,1923,0,0,0,0,0,2,0,0,Shed,1512,Jan,2007,Warranty Deed,AdjLand,2,87,1,11.918390573078392,4.0,2963,982,0
52,533206070,193800,1-STORY PUD 1946 & NEWER,FV,32,3784,2,2,3,Lvl,4,Inside,1,Somerset,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,36,4,3,PConc,4,3,1,6,1,1451,GasA,5,Y,SBrkr,2,1,4,5,8,0,0,Attchd,2006,3,2,476,3,3,2,0,0,No Misc,0,Feb,2007,New,Partial,1,4,1,12.174581978438804,3.0,1625,120,0
54,907414060,179600,1-STORY 1946 & NEWER ALL STYLES,RL,63,8500,2,0,4,Lvl,4,FR2,1,College Creek,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,106,4,3,PConc,4,3,3,1,1,1422,GasA,5,Y,SBrkr,3,1,4,7,8,0,0,Attchd,2004,2,2,626,3,3,2,0,0,No Misc,0,Nov,2007,Warranty Deed,Normal,1,6,0,12.098487434850236,2.0,1422,252,0
55,904301060,179000,DUPLEX ALL STYLES AND AGES,RL,60,10800,2,0,4,Lvl,4,Inside,1,Edwards,Norm,Norm,Duplex,1Story,5,5,1987,1988,Gable,CompShg,Plywood,Plywood,None,0,3,3,CBlock,4,4,4,6,1,0,GasA,3,Y,SBrkr,3,1,3,5,8,0,0,No Garage,1987,0,0,0,0,0,2,0,0,No Misc,0,Mar,2009,Warranty Deed,Alloca,2,23,1,12.095141084822892,6.0,2400,120,0
